id,name,details,holiday_date,is_holiday
2,Swami Vivekananda's Birthday,May Swamij's teachings inspire strength and wisdom in our life.,2026-01-12,N
3,Netaji Jayanti,Saluting the courage and vision of Netaji - Jai Hind,2026-01-23,N
4,Republic Day,Celebrating the Constitution with wishes for Progress and a Stronger India,2026-01-26,Y
5,Saraswati Puja,May Goddess Saraswati bless us with knowledge and creativity.,2026-01-23,N
6,Doljatra,Happy Doljatra! May your life be filled with colours of joy.,2026-03-03,Y
7,Good Friday,Wishing you a calm and reflective Good Friday.,2026-04-03,N
8,Dr. B. R. Ambedkar Jayanti,Honouring vision of equality and justice of Dr. Ambedkar,2026-04-14,N
9,Poila Boishakh,Shubho Noboborsho! May the New Year bring happiness and success.,2026-04-15,N
11,Rabindra Jayanti,Remembering Kabiguru's timeless words and wisdom.,2026-05-09,N
12,Rath Yatra,Wishing you devotion and joy on Rath Yatra.,2026-07-16,N
13,Independence Day,Happy Independence Day! Proud to be Indian. Vande Mataram!,2026-08-15,Y
14,Janmashtami,May Lord Krishna fill our life with love and joy.,2026-09-04,N
15,Gandhi Jayanti,Let us walk the path of truth and non-violence.,2026-10-02,Y
16,Mahalaya,Shubho Mahalaya! Let the festive spirit begin.,2026-10-10,N
17,Durga Puja,Shubho Sashthi! May Maa Durga bless us with strength and happiness.,2026-10-17,N
18,Durga Puja,Shubho Saptami! Enjoy your holidays with joy and happiness,2026-10-18,Y
19,Lakshmi Puja,May Goddess Lakshmi bring prosperity and abundance.,2026-10-25,N
20,Kali Puja,Shubho Kali Puja! May Maa Kali protect and remove darkness in life,2026-11-08,Y
21,Bhatri Dwitiya,Celebrating love and togetherness of siblings.,2026-11-11,N
22,Chhath Puja,May the Sun God bless you with health and prosperity.,2026-11-15,N
23,Guru Nanak Jayanti,May teachings of Guru Nanak bring peace and harmony.,2026-11-24,N
24,Christmas Day,Merry Christmas! Wishing you love joy and warmth.,2026-12-25,Y
1,Happy New Year,Wishing you a joyful prosperous and successful New Year 2026,2026-01-01,N
10,May Day & Buddha Purnima,Happy Labour Day & Buddha Purnima - celebrating dedication and hard work.,2026-05-01,Y
